,loc_id,week,ratio
0,1,9,0.9304567356274508
1,2,9,0.6398992938080373
2,3,9,0.7841931107267753
3,4,9,1.0416636417931053
4,5,9,1.116572275303306
5,6,9,0.9733190761964454
6,7,9,1.0264788215524348
7,8,9,0.9655086816135438
8,9,9,0.8277729733972711
9,10,9,0.92472846445817
10,11,9,1.0012316685107638
11,12,9,0.6518577680858302
12,13,9,0.6773622987174768
13,14,9,0.62367771098262
14,15,9,0.8735398284638022
15,16,9,0.8801662353982441
16,17,9,0.4177519836880283
17,18,9,1.041632843984364
18,19,9,1.0449178317522319
19,1,10,1.0036649372486197
20,2,10,0.9848450180979647
21,3,10,1.1320623063800832
22,4,10,1.0421494953225285
23,5,10,0.9968820162186398
24,6,10,1.0280329775856472
25,7,10,1.0201888206111014
26,8,10,1.0268043741993016
27,9,10,0.9856747562712609
28,10,10,1.0172945315612767
29,11,10,1.0194341662332336
30,12,10,1.010254318665275
31,13,10,1.0257180778497024
32,14,10,0.9477445010836938
33,15,10,1.0470901178223126
34,16,10,1.0015832402102243
35,17,10,0.9748297218467548
36,18,10,1.0383590018406383
37,19,10,0.9958960715520774
38,1,11,0.9230480389084256
39,2,11,0.9118729360007701
40,3,11,1.0460902500725717
41,4,11,1.0091439063875232
42,5,11,0.9746071738186259
43,6,11,0.9720595832999875
44,7,11,0.97614601791996
45,8,11,0.9722915206771013
46,9,11,0.9379291382083175
47,10,11,0.9731658034266293
48,11,11,0.9727176856766742
49,12,11,0.9201643170107835
50,13,11,0.9707811655863732
51,14,11,0.9055450794565238
52,15,11,1.0105214361642358
53,16,11,0.9619744199491327
54,17,11,0.8868311010470048
55,18,11,1.016148630419285
56,19,11,0.9546548553787879
57,1,12,0.6130098274822913
58,2,12,0.4612646787362108
59,3,12,0.7991127695025488
60,4,12,0.9537682319780597
61,5,12,0.9206437646778377
62,6,12,0.8350314203571987
63,7,12,0.9017213723703418
64,8,12,0.8274025007032922
65,9,12,0.7231188908712982
66,10,12,0.7723286451961344
67,11,12,0.7727544404164852
68,12,12,0.5421236359736569
69,13,12,0.5454080083963387
70,14,12,0.6117844167370948
71,15,12,0.7262657240171881
72,16,12,0.7560144518036834
73,17,12,0.48285496393141897
74,18,12,0.9241797283087956
75,19,12,0.9074379094946224
76,1,13,0.48667379663432164
77,2,13,0.28720092307539274
78,3,13,0.6780537267431904
79,4,13,0.9472826213909246
80,5,13,0.9267646381309289
81,6,13,0.6855770952869447
82,7,13,0.8497967923005753
83,8,13,0.7014259699731997
84,9,13,0.5689233981253909
85,10,13,0.6365263114034353
86,11,13,0.6726401379155746
87,12,13,0.3367428572385349
88,13,13,0.32605919995255034
89,14,13,0.3883656188349579
90,15,13,0.4852078306148073
91,16,13,0.577354400086662
92,17,13,0.25958693591561255
93,18,13,0.8960037809769668
94,19,13,0.8736823181496199
95,1,14,0.4804134427226839
96,2,14,0.2881586405603476
97,3,14,0.7518806760144826
98,4,14,0.9518163651428514
99,5,14,0.9290654112643478
100,6,14,0.6788263355986566
101,7,14,0.8690987467558321
102,8,14,0.7016526160048777
103,9,14,0.5621743525895724
104,10,14,0.6311161162528048
105,11,14,0.6758572871575622
106,12,14,0.3361343986541173
107,13,14,0.3196493957688714
108,14,14,0.38087566938270023
109,15,14,0.4845221748152193
110,16,14,0.563943081684022
111,17,14,0.2544571546078087
112,18,14,0.89459360091684
113,19,14,0.8806544621672978
114,1,15,0.46225212965667317
115,2,15,0.28231230764328524
116,3,15,0.8318647677922592
117,4,15,0.9357498074654036
118,5,15,0.8909854225097679
119,6,15,0.6477845956017763
120,7,15,0.8481083146598758
121,8,15,0.6765546097694861
122,9,15,0.546065710486083
123,10,15,0.622726991788173
124,11,15,0.6646831554151084
125,12,15,0.3280041685846035
126,13,15,0.3054402062319885
127,14,15,0.37355071874423
128,15,15,0.47644369768918815
129,16,15,0.5464591850279026
130,17,15,0.2420660713063965
131,18,15,0.8510566764877914
132,19,15,0.8536613843472264
133,1,16,0.45269309504230554
134,2,16,0.2803920450030071
135,3,16,0.7470858578694506
136,4,16,0.9425997350882239
137,5,16,0.8846867229455683
138,6,16,0.6623552510687372
139,7,16,0.847401258087342
140,8,16,0.6890537391969633
141,9,16,0.5420790093852902
142,10,16,0.6330393977944031
143,11,16,0.6565119963610226
144,12,16,0.3360248902969936
145,13,16,0.3059282456704417
146,14,16,0.4005998774778157
147,15,16,0.5072890744014144
148,16,16,0.5635762936842381
149,17,16,0.23828200106305716
150,18,16,0.844616188981765
151,19,16,0.877756612905585
152,1,17,0.4462712326918677
153,2,17,0.31014842628362277
154,3,17,0.6407905348787778
155,4,17,0.9323903515427683
156,5,17,0.9324084487341376
157,6,17,0.6937447820023427
158,7,17,0.8572300181915209
159,8,17,0.7007348945802914
160,9,17,0.5506509168718108
161,10,17,0.6293405887272607
162,11,17,0.6676079937199684
163,12,17,0.3354288187962203
164,13,17,0.30567281246678124
165,14,17,0.416972052532575
166,15,17,0.5202854248262667
167,16,17,0.5864720085787803
168,17,17,0.22925189679841051
169,18,17,0.849754439275874
170,19,17,0.8726938271565188
171,1,18,0.46313456893884336
172,2,18,0.30157549356209007
173,3,18,0.7388591284816922
174,4,18,0.932331615233161
175,5,18,0.9634957261236891
176,6,18,0.7369947024503201
177,7,18,0.9021751910976429
178,8,18,0.726340636153699
179,9,18,0.5694367025657477
180,10,18,0.654061870548964
181,11,18,0.699626638386981
182,12,18,0.3461951047828953
183,13,18,0.3130656582158585
184,14,18,0.4617168328726524
185,15,18,0.5370935703282729
186,16,18,0.6250597220224978
187,17,18,0.20141623124293107
188,18,18,0.899324561055075
189,19,18,0.9225309166843554
190,1,19,0.4920123599074685
191,2,19,0.31458803058759205
192,3,19,0.7762349377467136
193,4,19,0.9872561009385209
194,5,19,1.0376537887806458
195,6,19,0.7899446905395905
196,7,19,0.8929601527899652
197,8,19,0.7557788109818171
198,9,19,0.6074215344554889
199,10,19,0.6878067619129755
200,11,19,0.7257160889848412
201,12,19,0.3801997908192722
202,13,19,0.3389904595674514
203,14,19,0.5087744128771321
204,15,19,0.5854882021514569
205,16,19,0.660235114007291
206,17,19,0.236763046734437
207,18,19,0.910137670183942
208,19,19,0.9372730142373125
209,1,20,0.5048222639614651
210,2,20,0.3202473463836584
211,3,20,0.8140407872260238
212,4,20,0.9778482468830862
213,5,20,1.0192296166455759
214,6,20,0.8315509904461168
215,7,20,0.9235707920384616
216,8,20,0.7625147144305293
217,9,20,0.6587022252456978
218,10,20,0.6979689423171008
219,11,20,0.7459104300750431
220,12,20,0.4161332155133331
221,13,20,0.3614629387687425
222,14,20,0.559577939735892
223,15,20,0.6566663810061311
224,16,20,0.6969498170023231
225,17,20,0.2647763832504047
226,18,20,0.9692740952046915
227,19,20,0.9661490677617616
228,1,21,0.5215435913348667
229,2,21,0.3358704099517561
230,3,21,0.7830986381588814
231,4,21,0.9773749440228285
232,5,21,0.9935207290841782
233,6,21,0.8599119222497779
234,7,21,0.9082892581483485
235,8,21,0.7713264852262129
236,9,21,0.6620306340328325
237,10,21,0.6888775557745096
238,11,21,0.7487316461594641
239,12,21,0.4402765696303998
240,13,21,0.37018813432390574
241,14,21,0.5819536571236927
242,15,21,0.6693754751041924
243,16,21,0.7066034609352071
244,17,21,0.29671734274872186
245,18,21,0.94658628219241
246,19,21,0.9505087596484089
247,1,22,0.5284735209096743
248,2,22,0.3470102079679509
249,3,22,0.7629066683359795
250,4,22,0.9483377548465547
251,5,22,0.9959198074425598
252,6,22,0.8515542869470931
253,7,22,0.8817835117466661
254,8,22,0.7797672908888081
255,9,22,0.6576551375648242
256,10,22,0.68261596374218
257,11,22,0.7222258959454576
